ANALISIS LEXICO - DART CON PLY
==================================================

Archivo analizado: pruebas/algoritmo3_johan.dart
Desarrollador: JohanVeloz
Fecha y hora: 28-06-2026-19h22

TOKENS RECONOCIDOS
--------------------------------------------------
Linea 1    | Token: IMPORT                | Lexema: import
Linea 1    | Token: STRING                | Lexema: 'dart:io'
Linea 1    | Token: SEMICOLON             | Lexema: ;
Linea 3    | Token: SET_TYPE              | Lexema: Set
Linea 3    | Token: LESS_THAN             | Lexema: <
Linea 3    | Token: STRING_TYPE           | Lexema: String
Linea 3    | Token: GREATER_THAN          | Lexema: >
Linea 3    | Token: IDENTIFIER            | Lexema: palabrasUnicas
Linea 3    | Token: LPAREN                | Lexema: (
Linea 3    | Token: STRING_TYPE           | Lexema: String
Linea 3    | Token: IDENTIFIER            | Lexema: texto
Linea 3    | Token: RPAREN                | Lexema: )
Linea 3    | Token: ARROW                 | Lexema: =>
Linea 4    | Token: IDENTIFIER            | Lexema: texto
Linea 4    | Token: DOT                   | Lexema: .
Linea 4    | Token: IDENTIFIER            | Lexema: toLowerCase
Linea 4    | Token: LPAREN                | Lexema: (
Linea 4    | Token: RPAREN                | Lexema: )
Linea 4    | Token: DOT                   | Lexema: .
Linea 4    | Token: IDENTIFIER            | Lexema: split
Linea 4    | Token: LPAREN                | Lexema: (
Linea 4    | Token: IDENTIFIER            | Lexema: RegExp
Linea 4    | Token: LPAREN                | Lexema: (
Linea 4    | Token: IDENTIFIER            | Lexema: r
Linea 4    | Token: STRING                | Lexema: '\s+'
Linea 4    | Token: RPAREN                | Lexema: )
Linea 4    | Token: RPAREN                | Lexema: )
Linea 4    | Token: DOT                   | Lexema: .
Linea 4    | Token: IDENTIFIER            | Lexema: where
Linea 4    | Token: LPAREN                | Lexema: (
Linea 4    | Token: LPAREN                | Lexema: (
Linea 4    | Token: IDENTIFIER            | Lexema: p
Linea 4    | Token: RPAREN                | Lexema: )
Linea 4    | Token: ARROW                 | Lexema: =>
Linea 4    | Token: IDENTIFIER            | Lexema: p
Linea 4    | Token: DOT                   | Lexema: .
Linea 4    | Token: IDENTIFIER            | Lexema: isNotEmpty
Linea 4    | Token: RPAREN                | Lexema: )
Linea 4    | Token: DOT                   | Lexema: .
Linea 4    | Token: IDENTIFIER            | Lexema: toSet
Linea 4    | Token: LPAREN                | Lexema: (
Linea 4    | Token: RPAREN                | Lexema: )
Linea 4    | Token: SEMICOLON             | Lexema: ;
Linea 6    | Token: INT_TYPE              | Lexema: int
Linea 6    | Token: IDENTIFIER            | Lexema: contarVocales
Linea 6    | Token: LPAREN                | Lexema: (
Linea 6    | Token: STRING_TYPE           | Lexema: String
Linea 6    | Token: IDENTIFIER            | Lexema: texto
Linea 6    | Token: RPAREN                | Lexema: )
Linea 6    | Token: ARROW                 | Lexema: =>
Linea 7    | Token: IDENTIFIER            | Lexema: texto
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: toLowerCase
Linea 7    | Token: LPAREN                | Lexema: (
Linea 7    | Token: RPAREN                | Lexema: )
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: split
Linea 7    | Token: LPAREN                | Lexema: (
Linea 7    | Token: STRING                | Lexema: ''
Linea 7    | Token: RPAREN                | Lexema: )
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: where
Linea 7    | Token: LPAREN                | Lexema: (
Linea 7    | Token: LPAREN                | Lexema: (
Linea 7    | Token: IDENTIFIER            | Lexema: c
Linea 7    | Token: RPAREN                | Lexema: )
Linea 7    | Token: ARROW                 | Lexema: =>
Linea 7    | Token: STRING                | Lexema: 'aeiou'
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: contains
Linea 7    | Token: LPAREN                | Lexema: (
Linea 7    | Token: IDENTIFIER            | Lexema: c
Linea 7    | Token: RPAREN                | Lexema: )
Linea 7    | Token: RPAREN                | Lexema: )
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: length
Linea 7    | Token: SEMICOLON             | Lexema: ;
Linea 9    | Token: BOOL_TYPE             | Lexema: bool
Linea 9    | Token: IDENTIFIER            | Lexema: esPalindromo
Linea 9    | Token: LPAREN                | Lexema: (
Linea 9    | Token: STRING_TYPE           | Lexema: String
Linea 9    | Token: IDENTIFIER            | Lexema: texto
Linea 9    | Token: RPAREN                | Lexema: )
Linea 9    | Token: LBRACE                | Lexema: {
Linea 10   | Token: FINAL                 | Lexema: final
Linea 10   | Token: IDENTIFIER            | Lexema: s
Linea 10   | Token: ASSIGN                | Lexema: =
Linea 10   | Token: IDENTIFIER            | Lexema: texto
Linea 10   | Token: DOT                   | Lexema: .
Linea 10   | Token: IDENTIFIER            | Lexema: toLowerCase
Linea 10   | Token: LPAREN                | Lexema: (
Linea 10   | Token: RPAREN                | Lexema: )
Linea 10   | Token: DOT                   | Lexema: .
Linea 10   | Token: IDENTIFIER            | Lexema: replaceAll
Linea 10   | Token: LPAREN                | Lexema: (
Linea 10   | Token: IDENTIFIER            | Lexema: RegExp
Linea 10   | Token: LPAREN                | Lexema: (
Linea 10   | Token: IDENTIFIER            | Lexema: r
Linea 10   | Token: STRING                | Lexema: '[^a-z]'
Linea 10   | Token: RPAREN                | Lexema: )
Linea 10   | Token: COMMA                 | Lexema: ,
Linea 10   | Token: STRING                | Lexema: ''
Linea 10   | Token: RPAREN                | Lexema: )
Linea 10   | Token: SEMICOLON             | Lexema: ;
Linea 11   | Token: RETURN                | Lexema: return
Linea 11   | Token: IDENTIFIER            | Lexema: s
Linea 11   | Token: EQUALS                | Lexema: ==
Linea 11   | Token: IDENTIFIER            | Lexema: s
Linea 11   | Token: DOT                   | Lexema: .
Linea 11   | Token: IDENTIFIER            | Lexema: split
Linea 11   | Token: LPAREN                | Lexema: (
Linea 11   | Token: STRING                | Lexema: ''
Linea 11   | Token: RPAREN                | Lexema: )
Linea 11   | Token: DOT                   | Lexema: .
Linea 11   | Token: IDENTIFIER            | Lexema: reversed
Linea 11   | Token: DOT                   | Lexema: .
Linea 11   | Token: IDENTIFIER            | Lexema: join
Linea 11   | Token: LPAREN                | Lexema: (
Linea 11   | Token: RPAREN                | Lexema: )
Linea 11   | Token: SEMICOLON             | Lexema: ;
Linea 12   | Token: RBRACE                | Lexema: }
Linea 14   | Token: VOID                  | Lexema: void
Linea 14   | Token: IDENTIFIER            | Lexema: main
Linea 14   | Token: LPAREN                | Lexema: (
Linea 14   | Token: RPAREN                | Lexema: )
Linea 14   | Token: LBRACE                | Lexema: {
Linea 15   | Token: IDENTIFIER            | Lexema: stdout
Linea 15   | Token: DOT                   | Lexema: .
Linea 15   | Token: IDENTIFIER            | Lexema: write
Linea 15   | Token: LPAREN                | Lexema: (
Linea 15   | Token: STRING                | Lexema: 'Ingrese un texto: '
Linea 15   | Token: RPAREN                | Lexema: )
Linea 15   | Token: SEMICOLON             | Lexema: ;
Linea 16   | Token: STRING_TYPE           | Lexema: String
Linea 16   | Token: IDENTIFIER            | Lexema: texto
Linea 16   | Token: ASSIGN                | Lexema: =
Linea 16   | Token: IDENTIFIER            | Lexema: stdin
Linea 16   | Token: DOT                   | Lexema: .
Linea 16   | Token: IDENTIFIER            | Lexema: readLineSync
Linea 16   | Token: LPAREN                | Lexema: (
Linea 16   | Token: RPAREN                | Lexema: )
Linea 16   | Token: NULL_COALESCING       | Lexema: ??
Linea 16   | Token: STRING                | Lexema: ''
Linea 16   | Token: SEMICOLON             | Lexema: ;
Linea 17   | Token: SET_TYPE              | Lexema: Set
Linea 17   | Token: LESS_THAN             | Lexema: <
Linea 17   | Token: STRING_TYPE           | Lexema: String
Linea 17   | Token: GREATER_THAN          | Lexema: >
Linea 17   | Token: IDENTIFIER            | Lexema: unicas
Linea 17   | Token: ASSIGN                | Lexema: =
Linea 17   | Token: IDENTIFIER            | Lexema: palabrasUnicas
Linea 17   | Token: LPAREN                | Lexema: (
Linea 17   | Token: IDENTIFIER            | Lexema: texto
Linea 17   | Token: RPAREN                | Lexema: )
Linea 17   | Token: SEMICOLON             | Lexema: ;
Linea 18   | Token: INT_TYPE              | Lexema: int
Linea 18   | Token: IDENTIFIER            | Lexema: vocales
Linea 18   | Token: ASSIGN                | Lexema: =
Linea 18   | Token: IDENTIFIER            | Lexema: contarVocales
Linea 18   | Token: LPAREN                | Lexema: (
Linea 18   | Token: IDENTIFIER            | Lexema: texto
Linea 18   | Token: RPAREN                | Lexema: )
Linea 18   | Token: SEMICOLON             | Lexema: ;
Linea 19   | Token: BOOL_TYPE             | Lexema: bool
Linea 19   | Token: IDENTIFIER            | Lexema: palind
Linea 19   | Token: ASSIGN                | Lexema: =
Linea 19   | Token: IDENTIFIER            | Lexema: esPalindromo
Linea 19   | Token: LPAREN                | Lexema: (
Linea 19   | Token: IDENTIFIER            | Lexema: texto
Linea 19   | Token: DOT                   | Lexema: .
Linea 19   | Token: IDENTIFIER            | Lexema: replaceAll
Linea 19   | Token: LPAREN                | Lexema: (
Linea 19   | Token: STRING                | Lexema: ' '
Linea 19   | Token: COMMA                 | Lexema: ,
Linea 19   | Token: STRING                | Lexema: ''
Linea 19   | Token: RPAREN                | Lexema: )
Linea 19   | Token: RPAREN                | Lexema: )
Linea 19   | Token: SEMICOLON             | Lexema: ;
Linea 20   | Token: IDENTIFIER            | Lexema: print
Linea 20   | Token: LPAREN                | Lexema: (
Linea 20   | Token: STRING                | Lexema: 'Palabras unicas (${unicas.length}): $unicas'
Linea 20   | Token: RPAREN                | Lexema: )
Linea 20   | Token: SEMICOLON             | Lexema: ;
Linea 21   | Token: IDENTIFIER            | Lexema: print
Linea 21   | Token: LPAREN                | Lexema: (
Linea 21   | Token: STRING                | Lexema: 'Vocales: $vocales'
Linea 21   | Token: RPAREN                | Lexema: )
Linea 21   | Token: SEMICOLON             | Lexema: ;
Linea 22   | Token: IDENTIFIER            | Lexema: print
Linea 22   | Token: LPAREN                | Lexema: (
Linea 22   | Token: STRING                | Lexema: 'Es palindromo: $palind'
Linea 22   | Token: RPAREN                | Lexema: )
Linea 22   | Token: SEMICOLON             | Lexema: ;
Linea 23   | Token: SET_TYPE              | Lexema: Set
Linea 23   | Token: LESS_THAN             | Lexema: <
Linea 23   | Token: STRING_TYPE           | Lexema: String
Linea 23   | Token: GREATER_THAN          | Lexema: >
Linea 23   | Token: IDENTIFIER            | Lexema: vocalesSet
Linea 23   | Token: ASSIGN                | Lexema: =
Linea 23   | Token: LBRACE                | Lexema: {
Linea 23   | Token: STRING                | Lexema: 'a'
Linea 23   | Token: COMMA                 | Lexema: ,
Linea 23   | Token: STRING                | Lexema: 'e'
Linea 23   | Token: COMMA                 | Lexema: ,
Linea 23   | Token: STRING                | Lexema: 'i'
Linea 23   | Token: COMMA                 | Lexema: ,
Linea 23   | Token: STRING                | Lexema: 'o'
Linea 23   | Token: COMMA                 | Lexema: ,
Linea 23   | Token: STRING                | Lexema: 'u'
Linea 23   | Token: RBRACE                | Lexema: }
Linea 23   | Token: SEMICOLON             | Lexema: ;
Linea 24   | Token: SET_TYPE              | Lexema: Set
Linea 24   | Token: LESS_THAN             | Lexema: <
Linea 24   | Token: STRING_TYPE           | Lexema: String
Linea 24   | Token: GREATER_THAN          | Lexema: >
Linea 24   | Token: IDENTIFIER            | Lexema: letras
Linea 24   | Token: ASSIGN                | Lexema: =
Linea 24   | Token: IDENTIFIER            | Lexema: texto
Linea 24   | Token: DOT                   | Lexema: .
Linea 24   | Token: IDENTIFIER            | Lexema: toLowerCase
Linea 24   | Token: LPAREN                | Lexema: (
Linea 24   | Token: RPAREN                | Lexema: )
Linea 24   | Token: DOT                   | Lexema: .
Linea 24   | Token: IDENTIFIER            | Lexema: split
Linea 24   | Token: LPAREN                | Lexema: (
Linea 24   | Token: STRING                | Lexema: ''
Linea 24   | Token: RPAREN                | Lexema: )
Linea 24   | Token: DOT                   | Lexema: .
Linea 24   | Token: IDENTIFIER            | Lexema: toSet
Linea 24   | Token: LPAREN                | Lexema: (
Linea 24   | Token: RPAREN                | Lexema: )
Linea 24   | Token: SEMICOLON             | Lexema: ;
Linea 25   | Token: SET_TYPE              | Lexema: Set
Linea 25   | Token: LESS_THAN             | Lexema: <
Linea 25   | Token: STRING_TYPE           | Lexema: String
Linea 25   | Token: GREATER_THAN          | Lexema: >
Linea 25   | Token: IDENTIFIER            | Lexema: vocalesEnTxt
Linea 25   | Token: ASSIGN                | Lexema: =
Linea 25   | Token: IDENTIFIER            | Lexema: letras
Linea 25   | Token: DOT                   | Lexema: .
Linea 25   | Token: IDENTIFIER            | Lexema: intersection
Linea 25   | Token: LPAREN                | Lexema: (
Linea 25   | Token: IDENTIFIER            | Lexema: vocalesSet
Linea 25   | Token: RPAREN                | Lexema: )
Linea 25   | Token: SEMICOLON             | Lexema: ;
Linea 26   | Token: IDENTIFIER            | Lexema: print
Linea 26   | Token: LPAREN                | Lexema: (
Linea 26   | Token: STRING                | Lexema: 'Vocales presentes: $vocalesEnTxt'
Linea 26   | Token: RPAREN                | Lexema: )
Linea 26   | Token: SEMICOLON             | Lexema: ;
Linea 27   | Token: RBRACE                | Lexema: }

ERRORES LEXICOS
--------------------------------------------------
No se encontraron errores lexicos.
