ANALISIS LEXICO - DART CON PLY
==================================================

Archivo analizado: pruebas/algoritmo2_manuel.dart
Desarrollador: ManuelMatute
Fecha y hora: 28-06-2026-19h22

TOKENS RECONOCIDOS
--------------------------------------------------
Linea 1    | Token: IMPORT                | Lexema: import
Linea 1    | Token: STRING                | Lexema: 'dart:io'
Linea 1    | Token: SEMICOLON             | Lexema: ;
Linea 3    | Token: CLASS                 | Lexema: class
Linea 3    | Token: IDENTIFIER            | Lexema: Producto
Linea 3    | Token: LBRACE                | Lexema: {
Linea 4    | Token: FINAL                 | Lexema: final
Linea 4    | Token: STRING_TYPE           | Lexema: String
Linea 4    | Token: IDENTIFIER            | Lexema: nombre
Linea 4    | Token: SEMICOLON             | Lexema: ;
Linea 5    | Token: INT_TYPE              | Lexema: int
Linea 5    | Token: IDENTIFIER            | Lexema: cantidad
Linea 5    | Token: SEMICOLON             | Lexema: ;
Linea 6    | Token: DOUBLE_TYPE           | Lexema: double
Linea 6    | Token: IDENTIFIER            | Lexema: precio
Linea 6    | Token: SEMICOLON             | Lexema: ;
Linea 7    | Token: IDENTIFIER            | Lexema: Producto
Linea 7    | Token: LPAREN                | Lexema: (
Linea 7    | Token: LBRACE                | Lexema: {
Linea 7    | Token: REQUIRED              | Lexema: required
Linea 7    | Token: THIS                  | Lexema: this
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: nombre
Linea 7    | Token: COMMA                 | Lexema: ,
Linea 7    | Token: REQUIRED              | Lexema: required
Linea 7    | Token: THIS                  | Lexema: this
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: cantidad
Linea 7    | Token: COMMA                 | Lexema: ,
Linea 7    | Token: REQUIRED              | Lexema: required
Linea 7    | Token: THIS                  | Lexema: this
Linea 7    | Token: DOT                   | Lexema: .
Linea 7    | Token: IDENTIFIER            | Lexema: precio
Linea 7    | Token: RBRACE                | Lexema: }
Linea 7    | Token: RPAREN                | Lexema: )
Linea 7    | Token: SEMICOLON             | Lexema: ;
Linea 8    | Token: DOUBLE_TYPE           | Lexema: double
Linea 8    | Token: GET                   | Lexema: get
Linea 8    | Token: IDENTIFIER            | Lexema: valorTotal
Linea 8    | Token: ARROW                 | Lexema: =>
Linea 8    | Token: IDENTIFIER            | Lexema: cantidad
Linea 8    | Token: TIMES                 | Lexema: *
Linea 8    | Token: IDENTIFIER            | Lexema: precio
Linea 8    | Token: SEMICOLON             | Lexema: ;
Linea 9    | Token: AT                    | Lexema: @
Linea 9    | Token: IDENTIFIER            | Lexema: override
Linea 10   | Token: STRING_TYPE           | Lexema: String
Linea 10   | Token: IDENTIFIER            | Lexema: toString
Linea 10   | Token: LPAREN                | Lexema: (
Linea 10   | Token: RPAREN                | Lexema: )
Linea 10   | Token: ARROW                 | Lexema: =>
Linea 10   | Token: STRING                | Lexema: '$nombre: $cantidad uds @ \$$precio'
Linea 10   | Token: SEMICOLON             | Lexema: ;
Linea 11   | Token: RBRACE                | Lexema: }
Linea 13   | Token: VOID                  | Lexema: void
Linea 13   | Token: IDENTIFIER            | Lexema: mostrarInventario
Linea 13   | Token: LPAREN                | Lexema: (
Linea 13   | Token: MAP_TYPE              | Lexema: Map
Linea 13   | Token: LESS_THAN             | Lexema: <
Linea 13   | Token: STRING_TYPE           | Lexema: String
Linea 13   | Token: COMMA                 | Lexema: ,
Linea 13   | Token: IDENTIFIER            | Lexema: Producto
Linea 13   | Token: GREATER_THAN          | Lexema: >
Linea 13   | Token: IDENTIFIER            | Lexema: inv
Linea 13   | Token: RPAREN                | Lexema: )
Linea 13   | Token: LBRACE                | Lexema: {
Linea 14   | Token: IDENTIFIER            | Lexema: print
Linea 14   | Token: LPAREN                | Lexema: (
Linea 14   | Token: STRING                | Lexema: '\n=== INVENTARIO ==='
Linea 14   | Token: RPAREN                | Lexema: )
Linea 14   | Token: SEMICOLON             | Lexema: ;
Linea 15   | Token: FOR                   | Lexema: for
Linea 15   | Token: LPAREN                | Lexema: (
Linea 15   | Token: VAR                   | Lexema: var
Linea 15   | Token: IDENTIFIER            | Lexema: e
Linea 15   | Token: IN                    | Lexema: in
Linea 15   | Token: IDENTIFIER            | Lexema: inv
Linea 15   | Token: DOT                   | Lexema: .
Linea 15   | Token: IDENTIFIER            | Lexema: entries
Linea 15   | Token: RPAREN                | Lexema: )
Linea 15   | Token: IDENTIFIER            | Lexema: print
Linea 15   | Token: LPAREN                | Lexema: (
Linea 15   | Token: STRING                | Lexema: '  [${e.key}] ${e.value}'
Linea 15   | Token: RPAREN                | Lexema: )
Linea 15   | Token: SEMICOLON             | Lexema: ;
Linea 16   | Token: DOUBLE_TYPE           | Lexema: double
Linea 16   | Token: IDENTIFIER            | Lexema: total
Linea 16   | Token: ASSIGN                | Lexema: =
Linea 16   | Token: IDENTIFIER            | Lexema: inv
Linea 16   | Token: DOT                   | Lexema: .
Linea 16   | Token: IDENTIFIER            | Lexema: values
Linea 16   | Token: DOT                   | Lexema: .
Linea 16   | Token: IDENTIFIER            | Lexema: fold
Linea 16   | Token: LPAREN                | Lexema: (
Linea 16   | Token: DOUBLE                | Lexema: 0.0
Linea 16   | Token: COMMA                 | Lexema: ,
Linea 16   | Token: LPAREN                | Lexema: (
Linea 16   | Token: IDENTIFIER            | Lexema: s
Linea 16   | Token: COMMA                 | Lexema: ,
Linea 16   | Token: IDENTIFIER            | Lexema: p
Linea 16   | Token: RPAREN                | Lexema: )
Linea 16   | Token: ARROW                 | Lexema: =>
Linea 16   | Token: IDENTIFIER            | Lexema: s
Linea 16   | Token: PLUS                  | Lexema: +
Linea 16   | Token: IDENTIFIER            | Lexema: p
Linea 16   | Token: DOT                   | Lexema: .
Linea 16   | Token: IDENTIFIER            | Lexema: valorTotal
Linea 16   | Token: RPAREN                | Lexema: )
Linea 16   | Token: SEMICOLON             | Lexema: ;
Linea 17   | Token: IDENTIFIER            | Lexema: print
Linea 17   | Token: LPAREN                | Lexema: (
Linea 17   | Token: STRING                | Lexema: 'Valor total: \$$total'
Linea 17   | Token: RPAREN                | Lexema: )
Linea 17   | Token: SEMICOLON             | Lexema: ;
Linea 18   | Token: RBRACE                | Lexema: }
Linea 20   | Token: VOID                  | Lexema: void
Linea 20   | Token: IDENTIFIER            | Lexema: main
Linea 20   | Token: LPAREN                | Lexema: (
Linea 20   | Token: RPAREN                | Lexema: )
Linea 20   | Token: LBRACE                | Lexema: {
Linea 21   | Token: MAP_TYPE              | Lexema: Map
Linea 21   | Token: LESS_THAN             | Lexema: <
Linea 21   | Token: STRING_TYPE           | Lexema: String
Linea 21   | Token: COMMA                 | Lexema: ,
Linea 21   | Token: IDENTIFIER            | Lexema: Producto
Linea 21   | Token: GREATER_THAN          | Lexema: >
Linea 21   | Token: IDENTIFIER            | Lexema: inventario
Linea 21   | Token: ASSIGN                | Lexema: =
Linea 21   | Token: LBRACE                | Lexema: {
Linea 22   | Token: STRING                | Lexema: 'P001'
Linea 22   | Token: COLON                 | Lexema: :
Linea 22   | Token: IDENTIFIER            | Lexema: Producto
Linea 22   | Token: LPAREN                | Lexema: (
Linea 22   | Token: IDENTIFIER            | Lexema: nombre
Linea 22   | Token: COLON                 | Lexema: :
Linea 22   | Token: STRING                | Lexema: 'Laptop'
Linea 22   | Token: COMMA                 | Lexema: ,
Linea 22   | Token: IDENTIFIER            | Lexema: cantidad
Linea 22   | Token: COLON                 | Lexema: :
Linea 22   | Token: INTEGER               | Lexema: 5
Linea 22   | Token: COMMA                 | Lexema: ,
Linea 22   | Token: IDENTIFIER            | Lexema: precio
Linea 22   | Token: COLON                 | Lexema: :
Linea 22   | Token: DOUBLE                | Lexema: 899.99
Linea 22   | Token: RPAREN                | Lexema: )
Linea 22   | Token: COMMA                 | Lexema: ,
Linea 23   | Token: STRING                | Lexema: 'P002'
Linea 23   | Token: COLON                 | Lexema: :
Linea 23   | Token: IDENTIFIER            | Lexema: Producto
Linea 23   | Token: LPAREN                | Lexema: (
Linea 23   | Token: IDENTIFIER            | Lexema: nombre
Linea 23   | Token: COLON                 | Lexema: :
Linea 23   | Token: STRING                | Lexema: 'Mouse'
Linea 23   | Token: COMMA                 | Lexema: ,
Linea 23   | Token: IDENTIFIER            | Lexema: cantidad
Linea 23   | Token: COLON                 | Lexema: :
Linea 23   | Token: INTEGER               | Lexema: 20
Linea 23   | Token: COMMA                 | Lexema: ,
Linea 23   | Token: IDENTIFIER            | Lexema: precio
Linea 23   | Token: COLON                 | Lexema: :
Linea 23   | Token: DOUBLE                | Lexema: 25.5
Linea 23   | Token: RPAREN                | Lexema: )
Linea 23   | Token: COMMA                 | Lexema: ,
Linea 24   | Token: STRING                | Lexema: 'P003'
Linea 24   | Token: COLON                 | Lexema: :
Linea 24   | Token: IDENTIFIER            | Lexema: Producto
Linea 24   | Token: LPAREN                | Lexema: (
Linea 24   | Token: IDENTIFIER            | Lexema: nombre
Linea 24   | Token: COLON                 | Lexema: :
Linea 24   | Token: STRING                | Lexema: 'Teclado'
Linea 24   | Token: COMMA                 | Lexema: ,
Linea 24   | Token: IDENTIFIER            | Lexema: cantidad
Linea 24   | Token: COLON                 | Lexema: :
Linea 24   | Token: INTEGER               | Lexema: 15
Linea 24   | Token: COMMA                 | Lexema: ,
Linea 24   | Token: IDENTIFIER            | Lexema: precio
Linea 24   | Token: COLON                 | Lexema: :
Linea 24   | Token: DOUBLE                | Lexema: 45.0
Linea 24   | Token: RPAREN                | Lexema: )
Linea 24   | Token: COMMA                 | Lexema: ,
Linea 25   | Token: RBRACE                | Lexema: }
Linea 25   | Token: SEMICOLON             | Lexema: ;
Linea 26   | Token: IDENTIFIER            | Lexema: mostrarInventario
Linea 26   | Token: LPAREN                | Lexema: (
Linea 26   | Token: IDENTIFIER            | Lexema: inventario
Linea 26   | Token: RPAREN                | Lexema: )
Linea 26   | Token: SEMICOLON             | Lexema: ;
Linea 27   | Token: IDENTIFIER            | Lexema: stdout
Linea 27   | Token: DOT                   | Lexema: .
Linea 27   | Token: IDENTIFIER            | Lexema: write
Linea 27   | Token: LPAREN                | Lexema: (
Linea 27   | Token: STRING                | Lexema: 'Codigo a actualizar: '
Linea 27   | Token: RPAREN                | Lexema: )
Linea 27   | Token: SEMICOLON             | Lexema: ;
Linea 28   | Token: STRING_TYPE           | Lexema: String
Linea 28   | Token: IDENTIFIER            | Lexema: cod
Linea 28   | Token: ASSIGN                | Lexema: =
Linea 28   | Token: IDENTIFIER            | Lexema: stdin
Linea 28   | Token: DOT                   | Lexema: .
Linea 28   | Token: IDENTIFIER            | Lexema: readLineSync
Linea 28   | Token: LPAREN                | Lexema: (
Linea 28   | Token: RPAREN                | Lexema: )
Linea 28   | Token: NOT                   | Lexema: !
Linea 28   | Token: SEMICOLON             | Lexema: ;
Linea 29   | Token: IF                    | Lexema: if
Linea 29   | Token: LPAREN                | Lexema: (
Linea 29   | Token: IDENTIFIER            | Lexema: inventario
Linea 29   | Token: DOT                   | Lexema: .
Linea 29   | Token: IDENTIFIER            | Lexema: containsKey
Linea 29   | Token: LPAREN                | Lexema: (
Linea 29   | Token: IDENTIFIER            | Lexema: cod
Linea 29   | Token: RPAREN                | Lexema: )
Linea 29   | Token: RPAREN                | Lexema: )
Linea 29   | Token: LBRACE                | Lexema: {
Linea 30   | Token: IDENTIFIER            | Lexema: stdout
Linea 30   | Token: DOT                   | Lexema: .
Linea 30   | Token: IDENTIFIER            | Lexema: write
Linea 30   | Token: LPAREN                | Lexema: (
Linea 30   | Token: STRING                | Lexema: 'Nueva cantidad: '
Linea 30   | Token: RPAREN                | Lexema: )
Linea 30   | Token: SEMICOLON             | Lexema: ;
Linea 31   | Token: IDENTIFIER            | Lexema: inventario
Linea 31   | Token: LBRACKET              | Lexema: [
Linea 31   | Token: IDENTIFIER            | Lexema: cod
Linea 31   | Token: RBRACKET              | Lexema: ]
Linea 31   | Token: ASSERT_DOT            | Lexema: !.
Linea 31   | Token: IDENTIFIER            | Lexema: cantidad
Linea 31   | Token: ASSIGN                | Lexema: =
Linea 31   | Token: INT_TYPE              | Lexema: int
Linea 31   | Token: DOT                   | Lexema: .
Linea 31   | Token: IDENTIFIER            | Lexema: parse
Linea 31   | Token: LPAREN                | Lexema: (
Linea 31   | Token: IDENTIFIER            | Lexema: stdin
Linea 31   | Token: DOT                   | Lexema: .
Linea 31   | Token: IDENTIFIER            | Lexema: readLineSync
Linea 31   | Token: LPAREN                | Lexema: (
Linea 31   | Token: RPAREN                | Lexema: )
Linea 31   | Token: NOT                   | Lexema: !
Linea 31   | Token: RPAREN                | Lexema: )
Linea 31   | Token: SEMICOLON             | Lexema: ;
Linea 32   | Token: IDENTIFIER            | Lexema: print
Linea 32   | Token: LPAREN                | Lexema: (
Linea 32   | Token: STRING                | Lexema: 'Actualizado.'
Linea 32   | Token: RPAREN                | Lexema: )
Linea 32   | Token: SEMICOLON             | Lexema: ;
Linea 33   | Token: RBRACE                | Lexema: }
Linea 33   | Token: ELSE                  | Lexema: else
Linea 33   | Token: LBRACE                | Lexema: {
Linea 33   | Token: IDENTIFIER            | Lexema: print
Linea 33   | Token: LPAREN                | Lexema: (
Linea 33   | Token: STRING                | Lexema: 'No encontrado.'
Linea 33   | Token: RPAREN                | Lexema: )
Linea 33   | Token: SEMICOLON             | Lexema: ;
Linea 33   | Token: RBRACE                | Lexema: }
Linea 34   | Token: IDENTIFIER            | Lexema: mostrarInventario
Linea 34   | Token: LPAREN                | Lexema: (
Linea 34   | Token: IDENTIFIER            | Lexema: inventario
Linea 34   | Token: RPAREN                | Lexema: )
Linea 34   | Token: SEMICOLON             | Lexema: ;
Linea 35   | Token: RBRACE                | Lexema: }

ERRORES LEXICOS
--------------------------------------------------
No se encontraron errores lexicos.
