==================================================
          LOG DE ANÁLISIS LÉXICO (DART)
==================================================
Desarrollador: Manuel Matute (ManuelMatute)
Fecha y Hora:  28/06/2026 20:14:00
Archivo Origen: algoritmo2.dart
--------------------------------------------------
Tokens detectados: 260
Errores léxicos:   0
--------------------------------------------------
TIPO TOKEN           | LEXEMA                    | LÍNEA | POSICIÓN
--------------------------------------------------------------------
IMPORT               | 'import'                  | 1     | 0       
CADENA               | "'dart:io'"               | 1     | 7       
SEMICOLON            | ';'                       | 1     | 16      
CLASS                | 'class'                   | 3     | 20      
ID                   | 'Producto'                | 3     | 26      
LBRACE               | '{'                       | 3     | 35      
FINAL                | 'final'                   | 4     | 39      
ID                   | 'String'                  | 4     | 45      
ID                   | 'nombre'                  | 4     | 52      
SEMICOLON            | ';'                       | 4     | 58      
ID                   | 'int'                     | 5     | 62      
ID                   | 'cantidad'                | 5     | 69      
SEMICOLON            | ';'                       | 5     | 77      
ID                   | 'double'                  | 6     | 81      
ID                   | 'precio'                  | 6     | 88      
SEMICOLON            | ';'                       | 6     | 94      
ID                   | 'Producto'                | 7     | 98      
LPAREN               | '('                       | 7     | 106     
LBRACE               | '{'                       | 7     | 107     
REQUIRED             | 'required'                | 7     | 108     
THIS                 | 'this'                    | 7     | 117     
DOT                  | '.'                       | 7     | 121     
ID                   | 'nombre'                  | 7     | 122     
COMA                 | ','                       | 7     | 128     
REQUIRED             | 'required'                | 7     | 130     
THIS                 | 'this'                    | 7     | 139     
DOT                  | '.'                       | 7     | 143     
ID                   | 'cantidad'                | 7     | 144     
COMA                 | ','                       | 7     | 152     
REQUIRED             | 'required'                | 7     | 154     
THIS                 | 'this'                    | 7     | 163     
DOT                  | '.'                       | 7     | 167     
ID                   | 'precio'                  | 7     | 168     
RBRACE               | '}'                       | 7     | 174     
RPAREN               | ')'                       | 7     | 175     
SEMICOLON            | ';'                       | 7     | 176     
ID                   | 'double'                  | 8     | 180     
GET                  | 'get'                     | 8     | 187     
ID                   | 'valorTotal'              | 8     | 191     
ARROW                | '=>'                      | 8     | 202     
ID                   | 'cantidad'                | 8     | 205     
TIMES                | '*'                       | 8     | 214     
ID                   | 'precio'                  | 8     | 216     
SEMICOLON            | ';'                       | 8     | 222     
AT                   | '@'                       | 9     | 226     
ID                   | 'override'                | 9     | 227     
ID                   | 'String'                  | 10    | 238     
ID                   | 'toString'                | 10    | 245     
LPAREN               | '('                       | 10    | 253     
RPAREN               | ')'                       | 10    | 254     
ARROW                | '=>'                      | 10    | 256     
CADENA               | "'$nombre: $cantidad uds @ \\$$precio'" | 10    | 259     
SEMICOLON            | ';'                       | 10    | 295     
RBRACE               | '}'                       | 11    | 297     
VOID                 | 'void'                    | 13    | 301     
ID                   | 'mostrarInventario'       | 13    | 306     
LPAREN               | '('                       | 13    | 323     
ID                   | 'Map'                     | 13    | 324     
LT                   | '<'                       | 13    | 327     
ID                   | 'String'                  | 13    | 328     
COMA                 | ','                       | 13    | 334     
ID                   | 'Producto'                | 13    | 336     
GT                   | '>'                       | 13    | 344     
ID                   | 'inv'                     | 13    | 346     
RPAREN               | ')'                       | 13    | 349     
LBRACE               | '{'                       | 13    | 351     
ID                   | 'print'                   | 14    | 355     
LPAREN               | '('                       | 14    | 360     
CADENA               | "'\\n=== INVENTARIO ==='" | 14    | 361     
RPAREN               | ')'                       | 14    | 383     
SEMICOLON            | ';'                       | 14    | 384     
FOR                  | 'for'                     | 15    | 388     
LPAREN               | '('                       | 15    | 392     
VAR                  | 'var'                     | 15    | 393     
ID                   | 'e'                       | 15    | 397     
IN                   | 'in'                      | 15    | 399     
ID                   | 'inv'                     | 15    | 402     
DOT                  | '.'                       | 15    | 405     
ID                   | 'entries'                 | 15    | 406     
RPAREN               | ')'                       | 15    | 413     
ID                   | 'print'                   | 15    | 415     
LPAREN               | '('                       | 15    | 420     
CADENA               | "'  [${e.key}] ${e.value}'" | 15    | 421     
RPAREN               | ')'                       | 15    | 446     
SEMICOLON            | ';'                       | 15    | 447     
ID                   | 'double'                  | 16    | 451     
ID                   | 'total'                   | 16    | 458     
ASSIGN               | '='                       | 16    | 464     
ID                   | 'inv'                     | 16    | 466     
DOT                  | '.'                       | 16    | 469     
ID                   | 'values'                  | 16    | 470     
DOT                  | '.'                       | 16    | 476     
ID                   | 'fold'                    | 16    | 477     
LPAREN               | '('                       | 16    | 481     
NUM_DECIMAL          | 0.0                       | 16    | 482     
COMA                 | ','                       | 16    | 485     
