ANALISIS LEXICO - DART CON PLY
==================================================

Archivo analizado: pruebas/algoritmo1_xavier.dart
Desarrollador: XavierCamacho
Fecha y hora: 28-06-2026-19h22

TOKENS RECONOCIDOS
--------------------------------------------------
Linea 1    | Token: IMPORT                | Lexema: import
Linea 1    | Token: STRING                | Lexema: 'dart:io'
Linea 1    | Token: SEMICOLON             | Lexema: ;
Linea 3    | Token: LIST_TYPE             | Lexema: List
Linea 3    | Token: LESS_THAN             | Lexema: <
Linea 3    | Token: INT_TYPE              | Lexema: int
Linea 3    | Token: GREATER_THAN          | Lexema: >
Linea 3    | Token: IDENTIFIER            | Lexema: bubbleSort
Linea 3    | Token: LPAREN                | Lexema: (
Linea 3    | Token: LIST_TYPE             | Lexema: List
Linea 3    | Token: LESS_THAN             | Lexema: <
Linea 3    | Token: INT_TYPE              | Lexema: int
Linea 3    | Token: GREATER_THAN          | Lexema: >
Linea 3    | Token: IDENTIFIER            | Lexema: lista
Linea 3    | Token: RPAREN                | Lexema: )
Linea 3    | Token: LBRACE                | Lexema: {
Linea 4    | Token: INT_TYPE              | Lexema: int
Linea 4    | Token: IDENTIFIER            | Lexema: n
Linea 4    | Token: ASSIGN                | Lexema: =
Linea 4    | Token: IDENTIFIER            | Lexema: lista
Linea 4    | Token: DOT                   | Lexema: .
Linea 4    | Token: IDENTIFIER            | Lexema: length
Linea 4    | Token: SEMICOLON             | Lexema: ;
Linea 5    | Token: FOR                   | Lexema: for
Linea 5    | Token: LPAREN                | Lexema: (
Linea 5    | Token: INT_TYPE              | Lexema: int
Linea 5    | Token: IDENTIFIER            | Lexema: i
Linea 5    | Token: ASSIGN                | Lexema: =
Linea 5    | Token: INTEGER               | Lexema: 0
Linea 5    | Token: SEMICOLON             | Lexema: ;
Linea 5    | Token: IDENTIFIER            | Lexema: i
Linea 5    | Token: LESS_THAN             | Lexema: <
Linea 5    | Token: IDENTIFIER            | Lexema: n
Linea 5    | Token: MINUS                 | Lexema: -
Linea 5    | Token: INTEGER               | Lexema: 1
Linea 5    | Token: SEMICOLON             | Lexema: ;
Linea 5    | Token: IDENTIFIER            | Lexema: i
Linea 5    | Token: INCREMENT             | Lexema: ++
Linea 5    | Token: RPAREN                | Lexema: )
Linea 5    | Token: LBRACE                | Lexema: {
Linea 6    | Token: FOR                   | Lexema: for
Linea 6    | Token: LPAREN                | Lexema: (
Linea 6    | Token: INT_TYPE              | Lexema: int
Linea 6    | Token: IDENTIFIER            | Lexema: j
Linea 6    | Token: ASSIGN                | Lexema: =
Linea 6    | Token: INTEGER               | Lexema: 0
Linea 6    | Token: SEMICOLON             | Lexema: ;
Linea 6    | Token: IDENTIFIER            | Lexema: j
Linea 6    | Token: LESS_THAN             | Lexema: <
Linea 6    | Token: IDENTIFIER            | Lexema: n
Linea 6    | Token: MINUS                 | Lexema: -
Linea 6    | Token: IDENTIFIER            | Lexema: i
Linea 6    | Token: MINUS                 | Lexema: -
Linea 6    | Token: INTEGER               | Lexema: 1
Linea 6    | Token: SEMICOLON             | Lexema: ;
Linea 6    | Token: IDENTIFIER            | Lexema: j
Linea 6    | Token: INCREMENT             | Lexema: ++
Linea 6    | Token: RPAREN                | Lexema: )
Linea 6    | Token: LBRACE                | Lexema: {
Linea 7    | Token: IF                    | Lexema: if
Linea 7    | Token: LPAREN                | Lexema: (
Linea 7    | Token: IDENTIFIER            | Lexema: lista
Linea 7    | Token: LBRACKET              | Lexema: [
Linea 7    | Token: IDENTIFIER            | Lexema: j
Linea 7    | Token: RBRACKET              | Lexema: ]
Linea 7    | Token: GREATER_THAN          | Lexema: >
Linea 7    | Token: IDENTIFIER            | Lexema: lista
Linea 7    | Token: LBRACKET              | Lexema: [
Linea 7    | Token: IDENTIFIER            | Lexema: j
Linea 7    | Token: PLUS                  | Lexema: +
Linea 7    | Token: INTEGER               | Lexema: 1
Linea 7    | Token: RBRACKET              | Lexema: ]
Linea 7    | Token: RPAREN                | Lexema: )
Linea 7    | Token: LBRACE                | Lexema: {
Linea 8    | Token: INT_TYPE              | Lexema: int
Linea 8    | Token: IDENTIFIER            | Lexema: temp
Linea 8    | Token: ASSIGN                | Lexema: =
Linea 8    | Token: IDENTIFIER            | Lexema: lista
Linea 8    | Token: LBRACKET              | Lexema: [
Linea 8    | Token: IDENTIFIER            | Lexema: j
Linea 8    | Token: RBRACKET              | Lexema: ]
Linea 8    | Token: SEMICOLON             | Lexema: ;
Linea 9    | Token: IDENTIFIER            | Lexema: lista
Linea 9    | Token: LBRACKET              | Lexema: [
Linea 9    | Token: IDENTIFIER            | Lexema: j
Linea 9    | Token: RBRACKET              | Lexema: ]
Linea 9    | Token: ASSIGN                | Lexema: =
Linea 9    | Token: IDENTIFIER            | Lexema: lista
Linea 9    | Token: LBRACKET              | Lexema: [
Linea 9    | Token: IDENTIFIER            | Lexema: j
Linea 9    | Token: PLUS                  | Lexema: +
Linea 9    | Token: INTEGER               | Lexema: 1
Linea 9    | Token: RBRACKET              | Lexema: ]
Linea 9    | Token: SEMICOLON             | Lexema: ;
Linea 10   | Token: IDENTIFIER            | Lexema: lista
Linea 10   | Token: LBRACKET              | Lexema: [
Linea 10   | Token: IDENTIFIER            | Lexema: j
Linea 10   | Token: PLUS                  | Lexema: +
Linea 10   | Token: INTEGER               | Lexema: 1
Linea 10   | Token: RBRACKET              | Lexema: ]
Linea 10   | Token: ASSIGN                | Lexema: =
Linea 10   | Token: IDENTIFIER            | Lexema: temp
Linea 10   | Token: SEMICOLON             | Lexema: ;
Linea 11   | Token: RBRACE                | Lexema: }
Linea 12   | Token: RBRACE                | Lexema: }
Linea 13   | Token: RBRACE                | Lexema: }
Linea 14   | Token: RETURN                | Lexema: return
Linea 14   | Token: IDENTIFIER            | Lexema: lista
Linea 14   | Token: SEMICOLON             | Lexema: ;
Linea 15   | Token: RBRACE                | Lexema: }
Linea 17   | Token: INT_TYPE              | Lexema: int
Linea 17   | Token: IDENTIFIER            | Lexema: busquedaBinaria
Linea 17   | Token: LPAREN                | Lexema: (
Linea 17   | Token: LIST_TYPE             | Lexema: List
Linea 17   | Token: LESS_THAN             | Lexema: <
Linea 17   | Token: INT_TYPE              | Lexema: int
Linea 17   | Token: GREATER_THAN          | Lexema: >
Linea 17   | Token: IDENTIFIER            | Lexema: lista
Linea 17   | Token: COMMA                 | Lexema: ,
Linea 17   | Token: INT_TYPE              | Lexema: int
Linea 17   | Token: IDENTIFIER            | Lexema: objetivo
Linea 17   | Token: RPAREN                | Lexema: )
Linea 17   | Token: LBRACE                | Lexema: {
Linea 18   | Token: INT_TYPE              | Lexema: int
Linea 18   | Token: IDENTIFIER            | Lexema: inicio
Linea 18   | Token: ASSIGN                | Lexema: =
Linea 18   | Token: INTEGER               | Lexema: 0
Linea 18   | Token: COMMA                 | Lexema: ,
Linea 18   | Token: IDENTIFIER            | Lexema: fin
Linea 18   | Token: ASSIGN                | Lexema: =
Linea 18   | Token: IDENTIFIER            | Lexema: lista
Linea 18   | Token: DOT                   | Lexema: .
Linea 18   | Token: IDENTIFIER            | Lexema: length
Linea 18   | Token: MINUS                 | Lexema: -
Linea 18   | Token: INTEGER               | Lexema: 1
Linea 18   | Token: SEMICOLON             | Lexema: ;
Linea 19   | Token: WHILE                 | Lexema: while
Linea 19   | Token: LPAREN                | Lexema: (
Linea 19   | Token: IDENTIFIER            | Lexema: inicio
Linea 19   | Token: LESS_EQUAL            | Lexema: <=
Linea 19   | Token: IDENTIFIER            | Lexema: fin
Linea 19   | Token: RPAREN                | Lexema: )
Linea 19   | Token: LBRACE                | Lexema: {
Linea 20   | Token: INT_TYPE              | Lexema: int
Linea 20   | Token: IDENTIFIER            | Lexema: medio
Linea 20   | Token: ASSIGN                | Lexema: =
Linea 20   | Token: LPAREN                | Lexema: (
Linea 20   | Token: IDENTIFIER            | Lexema: inicio
Linea 20   | Token: PLUS                  | Lexema: +
Linea 20   | Token: IDENTIFIER            | Lexema: fin
Linea 20   | Token: RPAREN                | Lexema: )
Linea 20   | Token: INT_DIVIDE            | Lexema: ~/
Linea 20   | Token: INTEGER               | Lexema: 2
Linea 20   | Token: SEMICOLON             | Lexema: ;
Linea 21   | Token: IF                    | Lexema: if
Linea 21   | Token: LPAREN                | Lexema: (
Linea 21   | Token: IDENTIFIER            | Lexema: lista
Linea 21   | Token: LBRACKET              | Lexema: [
Linea 21   | Token: IDENTIFIER            | Lexema: medio
Linea 21   | Token: RBRACKET              | Lexema: ]
Linea 21   | Token: EQUALS                | Lexema: ==
Linea 21   | Token: IDENTIFIER            | Lexema: objetivo
Linea 21   | Token: RPAREN                | Lexema: )
Linea 21   | Token: RETURN                | Lexema: return
Linea 21   | Token: IDENTIFIER            | Lexema: medio
Linea 21   | Token: SEMICOLON             | Lexema: ;
Linea 22   | Token: IF                    | Lexema: if
Linea 22   | Token: LPAREN                | Lexema: (
Linea 22   | Token: IDENTIFIER            | Lexema: lista
Linea 22   | Token: LBRACKET              | Lexema: [
Linea 22   | Token: IDENTIFIER            | Lexema: medio
Linea 22   | Token: RBRACKET              | Lexema: ]
Linea 22   | Token: LESS_THAN             | Lexema: <
Linea 22   | Token: IDENTIFIER            | Lexema: objetivo
Linea 22   | Token: RPAREN                | Lexema: )
Linea 22   | Token: IDENTIFIER            | Lexema: inicio
Linea 22   | Token: ASSIGN                | Lexema: =
Linea 22   | Token: IDENTIFIER            | Lexema: medio
Linea 22   | Token: PLUS                  | Lexema: +
Linea 22   | Token: INTEGER               | Lexema: 1
Linea 22   | Token: SEMICOLON             | Lexema: ;
Linea 23   | Token: ELSE                  | Lexema: else
Linea 23   | Token: IDENTIFIER            | Lexema: fin
Linea 23   | Token: ASSIGN                | Lexema: =
Linea 23   | Token: IDENTIFIER            | Lexema: medio
Linea 23   | Token: MINUS                 | Lexema: -
Linea 23   | Token: INTEGER               | Lexema: 1
Linea 23   | Token: SEMICOLON             | Lexema: ;
Linea 24   | Token: RBRACE                | Lexema: }
Linea 25   | Token: RETURN                | Lexema: return
Linea 25   | Token: MINUS                 | Lexema: -
Linea 25   | Token: INTEGER               | Lexema: 1
Linea 25   | Token: SEMICOLON             | Lexema: ;
Linea 26   | Token: RBRACE                | Lexema: }
Linea 28   | Token: VOID                  | Lexema: void
Linea 28   | Token: IDENTIFIER            | Lexema: main
Linea 28   | Token: LPAREN                | Lexema: (
Linea 28   | Token: RPAREN                | Lexema: )
Linea 28   | Token: LBRACE                | Lexema: {
Linea 29   | Token: LIST_TYPE             | Lexema: List
Linea 29   | Token: LESS_THAN             | Lexema: <
Linea 29   | Token: INT_TYPE              | Lexema: int
Linea 29   | Token: GREATER_THAN          | Lexema: >
Linea 29   | Token: IDENTIFIER            | Lexema: numeros
Linea 29   | Token: ASSIGN                | Lexema: =
Linea 29   | Token: LBRACKET              | Lexema: [
Linea 29   | Token: INTEGER               | Lexema: 64
Linea 29   | Token: COMMA                 | Lexema: ,
Linea 29   | Token: INTEGER               | Lexema: 34
Linea 29   | Token: COMMA                 | Lexema: ,
Linea 29   | Token: INTEGER               | Lexema: 25
Linea 29   | Token: COMMA                 | Lexema: ,
Linea 29   | Token: INTEGER               | Lexema: 12
Linea 29   | Token: COMMA                 | Lexema: ,
Linea 29   | Token: INTEGER               | Lexema: 22
Linea 29   | Token: COMMA                 | Lexema: ,
Linea 29   | Token: INTEGER               | Lexema: 11
Linea 29   | Token: COMMA                 | Lexema: ,
Linea 29   | Token: INTEGER               | Lexema: 90
Linea 29   | Token: RBRACKET              | Lexema: ]
Linea 29   | Token: SEMICOLON             | Lexema: ;
Linea 30   | Token: IDENTIFIER            | Lexema: print
Linea 30   | Token: LPAREN                | Lexema: (
Linea 30   | Token: STRING                | Lexema: 'Lista original: $numeros'
Linea 30   | Token: RPAREN                | Lexema: )
Linea 30   | Token: SEMICOLON             | Lexema: ;
Linea 31   | Token: LIST_TYPE             | Lexema: List
Linea 31   | Token: LESS_THAN             | Lexema: <
Linea 31   | Token: INT_TYPE              | Lexema: int
Linea 31   | Token: GREATER_THAN          | Lexema: >
Linea 31   | Token: IDENTIFIER            | Lexema: ordenada
Linea 31   | Token: ASSIGN                | Lexema: =
Linea 31   | Token: IDENTIFIER            | Lexema: bubbleSort
Linea 31   | Token: LPAREN                | Lexema: (
Linea 31   | Token: IDENTIFIER            | Lexema: numeros
Linea 31   | Token: RPAREN                | Lexema: )
Linea 31   | Token: SEMICOLON             | Lexema: ;
Linea 32   | Token: IDENTIFIER            | Lexema: print
Linea 32   | Token: LPAREN                | Lexema: (
Linea 32   | Token: STRING                | Lexema: 'Lista ordenada: $ordenada'
Linea 32   | Token: RPAREN                | Lexema: )
Linea 32   | Token: SEMICOLON             | Lexema: ;
Linea 33   | Token: IDENTIFIER            | Lexema: stdout
Linea 33   | Token: DOT                   | Lexema: .
Linea 33   | Token: IDENTIFIER            | Lexema: write
Linea 33   | Token: LPAREN                | Lexema: (
Linea 33   | Token: STRING                | Lexema: 'Numero a buscar: '
Linea 33   | Token: RPAREN                | Lexema: )
Linea 33   | Token: SEMICOLON             | Lexema: ;
Linea 34   | Token: INT_TYPE              | Lexema: int
Linea 34   | Token: IDENTIFIER            | Lexema: objetivo
Linea 34   | Token: ASSIGN                | Lexema: =
Linea 34   | Token: INT_TYPE              | Lexema: int
Linea 34   | Token: DOT                   | Lexema: .
Linea 34   | Token: IDENTIFIER            | Lexema: parse
Linea 34   | Token: LPAREN                | Lexema: (
Linea 34   | Token: IDENTIFIER            | Lexema: stdin
Linea 34   | Token: DOT                   | Lexema: .
Linea 34   | Token: IDENTIFIER            | Lexema: readLineSync
Linea 34   | Token: LPAREN                | Lexema: (
Linea 34   | Token: RPAREN                | Lexema: )
Linea 34   | Token: NOT                   | Lexema: !
Linea 34   | Token: RPAREN                | Lexema: )
Linea 34   | Token: SEMICOLON             | Lexema: ;
Linea 35   | Token: INT_TYPE              | Lexema: int
Linea 35   | Token: IDENTIFIER            | Lexema: indice
Linea 35   | Token: ASSIGN                | Lexema: =
Linea 35   | Token: IDENTIFIER            | Lexema: busquedaBinaria
Linea 35   | Token: LPAREN                | Lexema: (
Linea 35   | Token: IDENTIFIER            | Lexema: ordenada
Linea 35   | Token: COMMA                 | Lexema: ,
Linea 35   | Token: IDENTIFIER            | Lexema: objetivo
Linea 35   | Token: RPAREN                | Lexema: )
Linea 35   | Token: SEMICOLON             | Lexema: ;
Linea 36   | Token: IDENTIFIER            | Lexema: print
Linea 36   | Token: LPAREN                | Lexema: (
Linea 36   | Token: IDENTIFIER            | Lexema: indice
Linea 36   | Token: NOT_EQUAL             | Lexema: !=
Linea 36   | Token: MINUS                 | Lexema: -
Linea 36   | Token: INTEGER               | Lexema: 1
Linea 36   | Token: QMARK                 | Lexema: ?
Linea 36   | Token: STRING                | Lexema: 'Indice: $indice'
Linea 36   | Token: COLON                 | Lexema: :
Linea 36   | Token: STRING                | Lexema: 'No encontrado'
Linea 36   | Token: RPAREN                | Lexema: )
Linea 36   | Token: SEMICOLON             | Lexema: ;
Linea 37   | Token: RBRACE                | Lexema: }

ERRORES LEXICOS
--------------------------------------------------
No se encontraron errores lexicos.
