==================================================
          LOG DE ANÁLISIS LÉXICO (DART)
==================================================
Desarrollador: Xavier Camacho (Xavih830)
Fecha y Hora:  28/06/2026 20:13:00
Archivo Origen: algoritmo1.dart
--------------------------------------------------
Tokens detectados: 287
Errores léxicos:   0
--------------------------------------------------
TIPO TOKEN           | LEXEMA                    | LÍNEA | POSICIÓN
--------------------------------------------------------------------
IMPORT               | 'import'                  | 1     | 0       
CADENA               | "'dart:io'"               | 1     | 7       
SEMICOLON            | ';'                       | 1     | 16      
ID                   | 'List'                    | 3     | 20      
LT                   | '<'                       | 3     | 24      
ID                   | 'int'                     | 3     | 25      
GT                   | '>'                       | 3     | 28      
ID                   | 'bubbleSort'              | 3     | 30      
LPAREN               | '('                       | 3     | 40      
ID                   | 'List'                    | 3     | 41      
LT                   | '<'                       | 3     | 45      
ID                   | 'int'                     | 3     | 46      
GT                   | '>'                       | 3     | 49      
ID                   | 'lista'                   | 3     | 51      
RPAREN               | ')'                       | 3     | 56      
LBRACE               | '{'                       | 3     | 58      
ID                   | 'int'                     | 4     | 62      
ID                   | 'n'                       | 4     | 66      
ASSIGN               | '='                       | 4     | 68      
ID                   | 'lista'                   | 4     | 70      
DOT                  | '.'                       | 4     | 75      
ID                   | 'length'                  | 4     | 76      
SEMICOLON            | ';'                       | 4     | 82      
FOR                  | 'for'                     | 5     | 86      
LPAREN               | '('                       | 5     | 90      
ID                   | 'int'                     | 5     | 91      
ID                   | 'i'                       | 5     | 95      
ASSIGN               | '='                       | 5     | 97      
NUM_ENTERO           | 0                         | 5     | 99      
SEMICOLON            | ';'                       | 5     | 100     
ID                   | 'i'                       | 5     | 102     
LT                   | '<'                       | 5     | 104     
ID                   | 'n'                       | 5     | 106     
MINUS                | '-'                       | 5     | 108     
NUM_ENTERO           | 1                         | 5     | 110     
SEMICOLON            | ';'                       | 5     | 111     
ID                   | 'i'                       | 5     | 113     
INC                  | '++'                      | 5     | 114     
RPAREN               | ')'                       | 5     | 116     
LBRACE               | '{'                       | 5     | 118     
FOR                  | 'for'                     | 6     | 124     
LPAREN               | '('                       | 6     | 128     
ID                   | 'int'                     | 6     | 129     
ID                   | 'j'                       | 6     | 133     
ASSIGN               | '='                       | 6     | 135     
NUM_ENTERO           | 0                         | 6     | 137     
SEMICOLON            | ';'                       | 6     | 138     
ID                   | 'j'                       | 6     | 140     
LT                   | '<'                       | 6     | 142     
ID                   | 'n'                       | 6     | 144     
MINUS                | '-'                       | 6     | 146     
ID                   | 'i'                       | 6     | 148     
MINUS                | '-'                       | 6     | 150     
NUM_ENTERO           | 1                         | 6     | 152     
SEMICOLON            | ';'                       | 6     | 153     
ID                   | 'j'                       | 6     | 155     
INC                  | '++'                      | 6     | 156     
RPAREN               | ')'                       | 6     | 158     
LBRACE               | '{'                       | 6     | 160     
IF                   | 'if'                      | 7     | 168     
LPAREN               | '('                       | 7     | 171     
ID                   | 'lista'                   | 7     | 172     
LBRACKET             | '['                       | 7     | 177     
ID                   | 'j'                       | 7     | 178     
RBRACKET             | ']'                       | 7     | 179     
GT                   | '>'                       | 7     | 181     
ID                   | 'lista'                   | 7     | 183     
LBRACKET             | '['                       | 7     | 188     
ID                   | 'j'                       | 7     | 189     
PLUS                 | '+'                       | 7     | 191     
NUM_ENTERO           | 1                         | 7     | 193     
RBRACKET             | ']'                       | 7     | 194     
RPAREN               | ')'                       | 7     | 195     
LBRACE               | '{'                       | 7     | 197     
ID                   | 'int'                     | 8     | 207     
ID                   | 'temp'                    | 8     | 211     
ASSIGN               | '='                       | 8     | 220     
ID                   | 'lista'                   | 8     | 222     
LBRACKET             | '['                       | 8     | 227     
ID                   | 'j'                       | 8     | 228     
RBRACKET             | ']'                       | 8     | 229     
SEMICOLON            | ';'                       | 8     | 230     
ID                   | 'lista'                   | 9     | 240     
LBRACKET             | '['                       | 9     | 245     
ID                   | 'j'                       | 9     | 246     
RBRACKET             | ']'                       | 9     | 247     
ASSIGN               | '='                       | 9     | 253     
ID                   | 'lista'                   | 9     | 255     
LBRACKET             | '['                       | 9     | 260     
ID                   | 'j'                       | 9     | 261     
PLUS                 | '+'                       | 9     | 263     
NUM_ENTERO           | 1                         | 9     | 265     
RBRACKET             | ']'                       | 9     | 266     
SEMICOLON            | ';'                       | 9     | 267     
ID                   | 'lista'                   | 10    | 277     
LBRACKET             | '['                       | 10    | 282     
ID                   | 'j'                       | 10    | 283     
PLUS                 | '+'                       | 10    | 285     
