==================================================
          LOG DE ANÁLISIS LÉXICO (DART)
==================================================
Desarrollador: Johan Veloz (johegvel)
Fecha y Hora:  28/06/2026 20:15:00
Archivo Origen: algoritmo3.dart
--------------------------------------------------
Tokens detectados: 251
Errores léxicos:   0
--------------------------------------------------
TIPO TOKEN           | LEXEMA                    | LÍNEA | POSICIÓN
--------------------------------------------------------------------
IMPORT               | 'import'                  | 1     | 0       
CADENA               | "'dart:io'"               | 1     | 7       
SEMICOLON            | ';'                       | 1     | 16      
ID                   | 'Set'                     | 3     | 20      
LT                   | '<'                       | 3     | 23      
ID                   | 'String'                  | 3     | 24      
GT                   | '>'                       | 3     | 30      
ID                   | 'palabrasUnicas'          | 3     | 32      
LPAREN               | '('                       | 3     | 46      
ID                   | 'String'                  | 3     | 47      
ID                   | 'texto'                   | 3     | 54      
RPAREN               | ')'                       | 3     | 59      
ARROW                | '=>'                      | 3     | 61      
ID                   | 'texto'                   | 4     | 68      
DOT                  | '.'                       | 4     | 73      
ID                   | 'toLowerCase'             | 4     | 74      
LPAREN               | '('                       | 4     | 85      
RPAREN               | ')'                       | 4     | 86      
DOT                  | '.'                       | 4     | 87      
ID                   | 'split'                   | 4     | 88      
LPAREN               | '('                       | 4     | 93      
ID                   | 'RegExp'                  | 4     | 94      
LPAREN               | '('                       | 4     | 100     
ID                   | 'r'                       | 4     | 101     
CADENA               | "'\\s+'"                  | 4     | 102     
RPAREN               | ')'                       | 4     | 107     
RPAREN               | ')'                       | 4     | 108     
DOT                  | '.'                       | 4     | 109     
ID                   | 'where'                   | 4     | 110     
LPAREN               | '('                       | 4     | 115     
LPAREN               | '('                       | 4     | 116     
ID                   | 'p'                       | 4     | 117     
RPAREN               | ')'                       | 4     | 118     
ARROW                | '=>'                      | 4     | 120     
ID                   | 'p'                       | 4     | 123     
DOT                  | '.'                       | 4     | 124     
ID                   | 'isNotEmpty'              | 4     | 125     
RPAREN               | ')'                       | 4     | 135     
DOT                  | '.'                       | 4     | 136     
ID                   | 'toSet'                   | 4     | 137     
LPAREN               | '('                       | 4     | 142     
RPAREN               | ')'                       | 4     | 143     
SEMICOLON            | ';'                       | 4     | 144     
ID                   | 'int'                     | 6     | 148     
ID                   | 'contarVocales'           | 6     | 152     
LPAREN               | '('                       | 6     | 165     
ID                   | 'String'                  | 6     | 166     
ID                   | 'texto'                   | 6     | 173     
RPAREN               | ')'                       | 6     | 178     
ARROW                | '=>'                      | 6     | 180     
ID                   | 'texto'                   | 7     | 187     
DOT                  | '.'                       | 7     | 192     
ID                   | 'toLowerCase'             | 7     | 193     
LPAREN               | '('                       | 7     | 204     
RPAREN               | ')'                       | 7     | 205     
DOT                  | '.'                       | 7     | 206     
ID                   | 'split'                   | 7     | 207     
LPAREN               | '('                       | 7     | 212     
CADENA               | "''"                      | 7     | 213     
RPAREN               | ')'                       | 7     | 215     
DOT                  | '.'                       | 7     | 216     
ID                   | 'where'                   | 7     | 217     
LPAREN               | '('                       | 7     | 222     
LPAREN               | '('                       | 7     | 223     
ID                   | 'c'                       | 7     | 224     
RPAREN               | ')'                       | 7     | 225     
ARROW                | '=>'                      | 7     | 227     
CADENA               | "'aeiou'"                 | 7     | 230     
DOT                  | '.'                       | 7     | 237     
ID                   | 'contains'                | 7     | 238     
LPAREN               | '('                       | 7     | 246     
ID                   | 'c'                       | 7     | 247     
RPAREN               | ')'                       | 7     | 248     
RPAREN               | ')'                       | 7     | 249     
DOT                  | '.'                       | 7     | 250     
ID                   | 'length'                  | 7     | 251     
SEMICOLON            | ';'                       | 7     | 257     
ID                   | 'bool'                    | 9     | 261     
ID                   | 'esPalindromo'            | 9     | 266     
LPAREN               | '('                       | 9     | 278     
ID                   | 'String'                  | 9     | 279     
ID                   | 'texto'                   | 9     | 286     
RPAREN               | ')'                       | 9     | 291     
LBRACE               | '{'                       | 9     | 293     
FINAL                | 'final'                   | 10    | 297     
ID                   | 's'                       | 10    | 303     
ASSIGN               | '='                       | 10    | 305     
ID                   | 'texto'                   | 10    | 307     
DOT                  | '.'                       | 10    | 312     
ID                   | 'toLowerCase'             | 10    | 313     
LPAREN               | '('                       | 10    | 324     
RPAREN               | ')'                       | 10    | 325     
DOT                  | '.'                       | 10    | 326     
ID                   | 'replaceAll'              | 10    | 327     
LPAREN               | '('                       | 10    | 337     
ID                   | 'RegExp'                  | 10    | 338     
LPAREN               | '('                       | 10    | 344     
ID                   | 'r'                       | 10    | 345     
